tokenizer,vocab_size,n_params,chars_per_token,context_chars,wall_time_sec,train_loss,val_loss,bits_per_char
char,65,3258368,1.0,256.0,300.3,1.3674,1.5852,2.287
bpe,512,3487232,1.963,502.5,317.8,2.3178,2.9952,2.2013
