pattern,coverage_percent,current_T,misr_hd
50,43.1467,256,5
100,44.7613,256,7
150,47.2003,256,7
200,47.6812,256,11
250,48.1621,256,8
300,61.7657,256,11
350,61.7657,256,9
400,61.7657,256,6
450,61.8001,256,8
500,61.8001,256,9
550,74.2357,256,11
600,74.7509,256,4
650,74.9914,256,11
700,75.4723,256,7
750,75.6785,256,10
800,80.4191,256,8
850,80.4191,256,9
900,80.4191,256,10
950,80.4191,256,10
1000,80.4191,256,11
1050,82.9612,256,11
1100,84.0605,256,8
1150,84.3696,256,8
1200,84.4040,256,9
1250,84.5757,256,8
1300,85.0223,256,5
1350,85.2628,256,5
1400,86.2590,256,7
1450,86.3964,256,7
1500,86.4308,256,3
1550,86.6369,256,7
1600,87.0148,256,7
1650,87.0148,256,6
1700,87.0148,256,10
1750,87.0148,256,9
1800,87.1522,256,7
1850,87.4270,256,9
1900,87.4270,256,7
1950,87.4270,256,10
2000,87.4270,256,8
2050,87.4957,256,10
2100,87.9766,256,9
2150,87.9766,256,7
2200,88.0453,256,8
2250,88.0453,256,10
2300,88.0453,256,8
2350,88.3545,256,9
2400,88.3545,256,11
2450,88.3545,256,8
2500,88.3545,256,6
2550,88.3545,256,6
2600,88.8011,256,8
2650,88.8355,256,9
2700,88.8355,256,3
2750,88.8698,256,9
2800,88.9729,256,8
2850,89.3164,256,7
2900,89.3164,256,6
2950,89.3164,256,9
3000,89.3164,256,9
3050,89.3164,256,10
3100,89.3851,256,6
3150,89.5225,256,6
3200,89.6943,256,10
3250,89.7286,256,6
3300,89.7286,256,10
3350,90.8966,256,11
3400,91.3775,256,10
3450,91.4806,256,5
3500,91.7211,256,6
3550,91.7554,256,5
3600,91.9959,256,10
3650,92.0302,256,7
3700,92.0646,256,6
3750,92.0646,256,8
3800,92.1676,256,10
3850,92.5112,256,3
3900,92.5799,256,11
3950,92.5799,256,8
4000,92.5799,256,10
4050,92.5799,256,8
4100,92.6829,256,7
4150,92.7516,256,5
4200,92.7860,256,8
4250,92.8203,256,12
4300,92.8203,256,8
4350,92.8890,256,8
4400,92.9921,256,7
4450,93.0608,256,8
4500,93.0608,256,7
4550,93.1639,256,12
4600,93.1639,256,12
4650,93.2669,256,9
4700,93.3356,256,6
4750,93.7479,256,5
4800,93.7479,256,9
4850,93.7822,256,8
4900,94.1944,256,8
4950,94.2288,256,8
5000,94.2288,256,9
5050,94.2288,256,5
5100,94.2288,256,7
5150,94.2975,256,9
5200,94.2975,256,7
5250,94.2975,256,10
5300,94.2975,256,9
5350,94.2975,256,7
5400,94.2975,256,6
5450,94.2975,256,11
5500,94.2975,256,8
5550,94.2975,256,11
5600,94.2975,256,12
5650,94.2975,256,9
5700,94.3662,256,8
5750,94.3662,256,4
5800,94.4005,256,8
5850,94.4349,256,7
5900,94.4349,256,7
5950,94.4349,256,7
6000,94.4349,256,7
6050,94.4349,256,7
6100,94.4349,256,10
6150,94.4349,256,4
6200,94.4349,256,8
6250,94.4693,256,6
6300,94.4693,256,7
6350,94.4693,256,9
6400,94.4693,256,8
6450,94.5036,256,7
6500,94.5036,256,5
6550,94.5036,256,5
6600,94.5036,256,7
6650,94.5036,256,8
6700,94.5380,256,6
6750,94.5380,256,11
6800,94.5380,256,9
6850,94.5380,256,7
6900,94.5380,256,6
6950,94.7441,256,9
7000,94.7441,256,7
7050,94.7441,256,9
7100,94.7441,256,10
7150,94.7441,256,12
7200,94.8471,256,5
7250,94.8471,256,8
7300,94.8471,256,10
7350,94.8471,256,10
7400,94.8471,256,9
7450,94.8471,256,6
7500,94.8471,256,9
7550,94.8471,256,9
7600,94.8471,256,8
7650,94.8471,256,9
7700,94.8471,256,7
7750,94.8471,256,9
7800,94.8471,256,10
7850,94.8471,256,13
7900,94.8471,256,11
7950,94.8471,256,5
8000,94.8471,256,8
