T,val_auc,val_final_coverage
32,91.9610099622123,96.35863964273446
64,90.51494331844727,95.37959464101684
128,90.05977327378908,95.82617657162487
256,83.56149089659911,93.30127104087941
512,77.8503950532463,89.59120577121266
1024,70.42734455513569,85.31432497423566
